Solution #, n, T, alpha, beta, l_0
327, 1.700000, 465.609220, 0.463867, 0.536133, -0.000244
328, 1.700000, 465.609220, 0.463623, 0.536377, -0.000244
329, 1.700000, 465.609220, 0.463379, 0.536621, -0.000244
330, 1.700000, 465.609220, 0.463135, 0.536865, -0.000244
331, 1.700000, 465.609220, 0.462891, 0.537109, -0.000244
332, 1.700000, 465.609220, 0.462646, 0.537354, -0.000244
333, 1.700000, 465.609220, 0.462402, 0.537598, -0.000244
334, 1.700000, 465.609220, 0.462158, 0.537842, -0.000244
335, 1.800000, 476.276500, -0.057617, 0.942383, -0.107422
336, 1.800000, 476.276500, -0.057373, 0.942627, -0.107178
337, 1.800000, 476.276500, -0.057373, 0.942627, -0.106934
338, 1.800000, 476.276500, 0.462158, 0.537842, -0.000244
339, 1.800000, 476.276500, 0.462402, 0.537598, -0.000244
340, 1.800000, 476.276500, 0.462646, 0.537354, -0.000244
341, 1.800000, 476.276500, 0.462891, 0.537109, -0.000244
342, 1.800000, 476.276500, 0.463135, 0.536865, -0.000244
343, 1.800000, 476.276500, 0.463379, 0.536621, -0.000244
344, 1.800000, 476.276500, 0.463623, 0.536377, -0.000244
345, 1.800000, 476.276500, 0.463867, 0.536133, -0.000244
346, 1.800000, 476.276500, 0.464111, 0.535889, -0.000244
347, 1.800000, 476.276500, 0.464355, 0.535645, -0.000244
348, 1.800000, 476.276500, 0.464600, 0.535400, -0.000244
349, 1.800000, 476.276500, 0.464844, 0.535156, -0.000244
350, 1.800000, 476.276500, 0.463623, 0.536377, 0.000000
351, 1.800000, 476.276500, 0.463867, 0.536133, 0.000000
352, 1.800000, 476.276500, 0.464111, 0.535889, 0.000000
353, 1.800000, 476.276500, 0.464355, 0.535645, 0.000000
354, 1.800000, 476.276500, 0.464600, 0.535400, 0.000000
355, 1.800000, 476.276500, 0.464844, 0.535156, 0.000000
356, 1.800000, 476.276500, 0.465088, 0.534912, 0.000000
357, 1.800000, 476.276500, 0.465332, 0.534668, 0.000000
358, 1.800000, 476.276500, 0.465576, 0.534424, 0.000000
